frequency,raw
20.00,7.50
23.45,8.50
25.65,8.80
28.05,8.90
32.24,9.00
38.19,8.90
44.33,8.70
44.78,8.70
47.06,8.60
47.53,8.60
51.47,8.20
51.99,8.20
52.51,8.20
56.86,7.70
57.42,7.70
60.35,7.20
83.81,5.40
84.65,5.40
99.26,4.20
100.25,4.00
121.12,2.60
150.75,1.60
199.19,0.40
321.14,-0.70
912.93,-1.70
922.06,-1.70
931.28,-1.70
940.59,-1.70
950.00,-1.70
959.50,-1.70
969.09,-1.70
978.78,-1.60
988.57,-1.55
998.46,-1.55
1008.44,-1.45
1018.53,-1.35
1028.71,-1.30
1039.00,-1.20
1049.39,-1.10
1059.88,-0.90
1070.48,-0.80
1081.19,-0.70
1092.00,-0.60
1218.31,0.00
1230.49,0.10
1242.80,0.20
1255.22,0.30
1267.78,0.40
1280.45,0.50
1293.26,0.60
1306.19,0.70
1319.25,0.80
1332.45,0.90
1345.77,1.00
1359.23,1.05
1372.82,1.10
1386.55,1.15
1400.41,1.20
1414.42,1.25
1428.56,1.30
1442.85,1.35
1457.28,1.40
1471.85,1.45
1486.57,1.50
1501.43,1.55
1516.45,1.60
1531.61,1.65
1546.93,1.70
1562.40,1.75
1578.02,1.80
1593.80,1.85
1609.74,1.95
1625.84,2.05
1642.10,2.10
1658.52,2.20
1675.10,2.25
1691.85,2.30
1708.77,2.20
1725.86,2.25
1743.12,2.30
2064.38,3.95
2494.00,5.30
2518.94,5.50
2924.41,5.70
3073.58,5.80
4020.89,5.95
4354.05,5.35
5004.87,4.35
6046.42,1.90
8068.98,-2.00
13809.33,-8.00
13947.42,-8.00
14086.90,-8.00
14227.77,-8.00
14370.04,-8.00
14513.74,-9.00
14658.88,-9.00
14805.47,-9.50
14953.52,-9.50
15103.06,-10.00
15254.09,-10.00
15406.63,-10.00
15560.70,-10.00
15716.30,-10.00
15873.47,-10.00
16032.20,-10.50
16192.52,-10.50
16354.45,-11.50
16517.99,-11.50
16683.17,-11.50
16850.01,-11.50
17018.51,-11.50
17188.69,-12.00
17360.58,-12.00
17534.18,-12.00
17709.53,-12.00
17886.62,-12.00
18065.49,-12.50
18246.14,-12.50
18428.60,-12.50
18612.89,-12.50
18799.02,-12.50
18987.01,-13.00
19176.88,-13.00
19368.65,-13.00
19562.33,-14.00
19757.96,-14.00
19955.54,-14.00
